b,g,r
126.41297912597656,145.82110595703125,195.63963317871094
126.67267608642578,145.83206176757812,195.8568572998047
126.64044189453125,145.7740936279297,195.84579467773438
126.38473510742188,145.7201385498047,195.60325622558594
126.89646911621094,145.88328552246094,196.04580688476562
126.80496215820312,145.7880859375,195.96678161621094
126.58983612060547,145.590087890625,195.7035675048828
126.82779693603516,145.74607849121094,195.99009704589844
126.7770004272461,145.6722869873047,195.9049835205078
126.52532958984375,145.55123901367188,195.73085021972656
126.7426528930664,145.58937072753906,195.88612365722656
126.78974914550781,145.64955139160156,195.93743896484375
126.63298034667969,145.56756591796875,195.81494140625
126.8873519897461,145.74188232421875,196.1221160888672
126.9823226928711,145.76356506347656,196.1601104736328
126.51136016845703,145.54385375976562,195.80589294433594
126.86420440673828,145.6835479736328,196.0975341796875
126.75713348388672,145.59364318847656,195.97869873046875
126.62713623046875,145.57601928710938,195.86306762695312
126.70658874511719,145.74710083007812,196.0049591064453
126.72702026367188,145.772216796875,196.005859375
126.58798217773438,145.69627380371094,195.88320922851562
126.84756469726562,145.79074096679688,196.09063720703125
126.71343231201172,145.7329864501953,195.99557495117188
126.55084228515625,145.65740966796875,195.80970764160156
126.822509765625,145.8152313232422,196.0483856201172
126.89645385742188,145.82398986816406,196.09815979003906
126.57672119140625,145.66616821289062,195.79580688476562
127.02398681640625,145.88790893554688,196.19210815429688
126.92608642578125,145.8665771484375,196.12579345703125
126.66474914550781,145.78028869628906,195.8833770751953
126.97361755371094,145.89553833007812,196.13087463378906
126.81209564208984,145.8583984375,196.03073120117188
126.70915985107422,145.89071655273438,195.9766387939453
127.0857925415039,145.9719696044922,196.2570037841797
126.85813903808594,145.91079711914062,196.06265258789062
126.6383285522461,145.83456420898438,195.91778564453125
126.9455337524414,145.92742919921875,196.13922119140625
126.99232482910156,145.93789672851562,196.1471710205078
126.5801773071289,145.78627014160156,195.81015014648438
126.8990249633789,145.87747192382812,196.07940673828125
126.76902770996094,145.80645751953125,195.9696044921875
126.6164321899414,145.74420166015625,195.83883666992188
126.84801483154297,145.78944396972656,196.0443115234375
126.67829132080078,145.6348419189453,195.8672637939453
126.50345611572266,145.5992889404297,195.7270050048828
126.82257843017578,145.51539611816406,195.9229736328125
126.74115753173828,145.5017852783203,195.87896728515625
126.403076171875,145.3710174560547,195.6044921875
126.49468231201172,145.43922424316406,195.67254638671875
126.5027084350586,145.4745330810547,195.6914825439453
126.74921417236328,145.601806640625,195.89999389648438
126.69374084472656,145.52867126464844,195.84432983398438
126.59980010986328,145.63330078125,195.77401733398438
126.79082489013672,145.69789123535156,195.9523162841797
126.83908081054688,145.7427520751953,196.0049591064453
126.58855438232422,145.661865234375,195.80001831054688
126.86046600341797,145.74830627441406,196.05560302734375
126.93183898925781,145.81130981445312,196.1232147216797
126.58826446533203,145.72085571289062,195.83827209472656
126.851806640625,145.74139404296875,196.0769805908203
126.84012603759766,145.78189086914062,196.08509826660156
126.63141632080078,145.65443420410156,195.88949584960938
126.8378677368164,145.82083129882812,196.11924743652344
126.9508056640625,145.9154815673828,196.2110137939453
126.6094970703125,145.7489471435547,195.9599151611328
126.90103149414062,145.8786163330078,196.15672302246094
126.83116149902344,145.8728790283203,196.15440368652344
126.56597900390625,145.7427978515625,195.8839569091797
126.65621948242188,145.84310913085938,195.95875549316406
126.727783203125,145.91635131835938,196.0608673095703
126.4643325805664,145.75701904296875,195.80166625976562
126.6897201538086,145.92747497558594,195.9897003173828
126.70648193359375,146.03640747070312,196.0926971435547
126.51568603515625,145.9364013671875,195.8922119140625
126.64230346679688,145.9988555908203,196.00914001464844
126.65455627441406,145.9479217529297,196.00143432617188
126.39509582519531,145.83006286621094,195.8236083984375
126.73731994628906,146.00534057617188,196.13504028320312
126.66355895996094,145.93031311035156,196.0021209716797
126.40716552734375,145.8173370361328,195.8686981201172
126.62419891357422,145.90489196777344,196.08837890625
126.70235443115234,145.93238830566406,196.1007537841797
126.4398193359375,145.82537841796875,195.9048614501953
126.69367980957031,145.89566040039062,196.13479614257812
126.59373474121094,145.80142211914062,196.01644897460938
126.41048431396484,145.71182250976562,195.8738555908203
126.56254577636719,145.83718872070312,196.06002807617188
126.57569885253906,145.78248596191406,195.98574829101562
126.31101989746094,145.6432342529297,195.73851013183594
126.50086975097656,145.6390838623047,195.9014434814453
126.53440856933594,145.76463317871094,195.95518493652344
126.30577087402344,145.68667602539062,195.84698486328125
126.43889617919922,145.74876403808594,195.9476318359375
126.53862762451172,145.80136108398438,196.0917510986328
126.33231353759766,145.7864532470703,195.89524841308594
126.60457611083984,145.8100128173828,196.0485076904297
126.5655517578125,145.84609985351562,196.09024047851562
126.46378326416016,145.80186462402344,195.97982788085938
126.58711242675781,145.8479461669922,196.1148223876953
126.65608978271484,145.9384765625,196.1367950439453
126.53656005859375,145.93873596191406,196.02012634277344
126.79334259033203,146.03695678710938,196.21299743652344
126.75548553466797,146.0338592529297,196.2229766845703
126.53584289550781,145.8850555419922,196.00389099121094
126.6905746459961,146.0274658203125,196.1801300048828
126.73599243164062,146.0243682861328,196.21966552734375
126.3669204711914,145.8038330078125,195.82493591308594
126.4300308227539,145.93557739257812,195.85995483398438
126.29875183105469,145.9688262939453,195.77105712890625
126.57274627685547,146.1445770263672,196.02110290527344
126.65280151367188,146.09397888183594,196.03253173828125
126.49208068847656,146.12020874023438,195.9369659423828
126.75355529785156,146.23947143554688,196.20809936523438
126.80681610107422,146.25596618652344,196.18064880371094
126.31045532226562,146.03842163085938,195.78744506835938
126.56841278076172,146.28952026367188,196.11166381835938
126.49811553955078,146.23484802246094,196.04502868652344
126.75708770751953,145.99700927734375,196.1172332763672
126.39855194091797,146.09117126464844,195.9306182861328
126.57755279541016,146.102783203125,196.00807189941406
126.5168228149414,145.9704132080078,195.91635131835938
127.10220336914062,146.2049102783203,196.47616577148438
126.75780487060547,146.0645294189453,196.17288208007812
126.51673889160156,146.0041046142578,195.9706573486328
126.89800262451172,146.18798828125,196.3321075439453
126.95938110351562,146.2660675048828,196.40196228027344
126.33897399902344,145.9644012451172,195.89544677734375
126.75914764404297,146.212890625,196.26516723632812
126.7209701538086,146.1870880126953,196.22418212890625
126.43798065185547,146.08624267578125,195.99449157714844
126.70045471191406,146.18280029296875,196.21456909179688
126.78800964355469,146.18624877929688,196.25582885742188
126.4123306274414,146.07064819335938,195.9668426513672
126.73916625976562,146.20819091796875,196.21778869628906
126.63787078857422,146.11155700683594,196.1448211669922
126.43573760986328,146.20362854003906,196.04635620117188
126.65029907226562,146.19473266601562,196.19007873535156
126.65656280517578,146.26947021484375,196.21054077148438
126.19612884521484,146.06570434570312,195.79757690429688
126.63324737548828,146.2416534423828,196.13136291503906
126.48126220703125,146.18121337890625,195.97019958496094
126.64593505859375,146.24923706054688,196.08114624023438
126.60128784179688,146.36793518066406,196.142333984375
126.67784118652344,146.3424530029297,196.16375732421875
126.61508178710938,146.2867889404297,196.0763397216797
126.87122344970703,146.4877471923828,196.31463623046875
126.75281524658203,146.53329467773438,196.2664794921875
126.64739990234375,146.3294219970703,196.07460021972656
127.04046630859375,146.5406951904297,196.39500427246094
127.008544921875,146.5137176513672,196.40740966796875
126.64766693115234,146.4215850830078,196.08326721191406
127.06349182128906,146.5386199951172,196.4436492919922
126.984375,146.50648498535156,196.3565216064453
126.66844177246094,146.33262634277344,196.13633728027344
126.69074249267578,146.3546600341797,196.1404266357422
126.77164459228516,146.3580780029297,196.2212677001953
126.55231475830078,146.2717742919922,196.0216827392578
126.84945678710938,146.2838134765625,196.2047119140625
126.76798248291016,146.27960205078125,196.15467834472656
126.52823638916016,146.14859008789062,195.8883819580078
126.8828353881836,146.3335418701172,196.20379638671875
126.97575378417969,146.38345336914062,196.28228759765625
126.53147888183594,146.21885681152344,195.94570922851562
126.87235260009766,146.31040954589844,196.18954467773438
126.81393432617188,146.2471923828125,196.14773559570312
126.66387939453125,146.26870727539062,196.04588317871094
126.60748291015625,146.19424438476562,195.97618103027344
126.50969696044922,146.15419006347656,195.85067749023438
126.72628784179688,146.2571258544922,196.09303283691406
126.75809478759766,146.26779174804688,196.09246826171875
126.51451110839844,146.19931030273438,195.9273223876953
126.64617156982422,146.3306427001953,196.06454467773438
126.60336303710938,146.2855987548828,196.0140838623047
126.78414916992188,146.2362060546875,196.06076049804688
127.04167175292969,146.37860107421875,196.26119995117188
127.15762329101562,146.45103454589844,196.39219665527344
126.73408508300781,146.3413848876953,196.05709838867188
127.0780029296875,146.52239990234375,196.36170959472656
126.97775268554688,146.44554138183594,196.2624053955078
126.7738265991211,146.38037109375,196.12149047851562
127.07968139648438,146.5280303955078,196.35147094726562
127.0464096069336,146.52040100097656,196.3551788330078
126.61235809326172,146.36297607421875,195.96861267089844
126.95465087890625,146.40066528320312,196.2084503173828
126.95891571044922,146.43719482421875,196.24655151367188
126.67321014404297,146.3749542236328,196.01295471191406
126.81866455078125,146.37680053710938,196.200439453125
126.79585266113281,146.3209991455078,196.15951538085938
126.56822967529297,146.1740264892578,195.904541015625
126.87857055664062,146.3213653564453,196.20556640625
126.6919937133789,146.25257873535156,196.0658416748047
126.51663970947266,146.14971923828125,195.86788940429688
126.93179321289062,146.3452911376953,196.2532501220703
126.81404876708984,146.2219696044922,196.14645385742188
126.53851318359375,146.1769561767578,195.92208862304688
126.82557678222656,146.26300048828125,196.1466827392578
126.74105834960938,146.18711853027344,196.1007843017578
126.70288848876953,146.1150665283203,196.02777099609375
126.74981689453125,146.15492248535156,196.05508422851562
126.7390365600586,146.14315795898438,196.0349884033203
