,
,
,
,
,
,
,
,
,
Lead,Lead I
Unit,µV
,
-205.066,
-205.518,
-206.24,
-207.429,
-209.358,
-212.185,
-215.928,
-220.37,
-224.998,
-229.304,
-232.877,
-235.172,
-235.494,
-233.354,
-228.767,
-222.438,
-215.826,
-210.431,
-207.133,
-206.603,
-209.668,
-216.576,
-226.372,
-236.771,
-243.785,
-243.045,
-231.554,
-206.353,
-163.926,
-102.107,
-20.239,
79.099,
188.812,
303.329,
419.596,
535.361,
650.391,
757.66,
844.77,
901.458,
917.754,
894.37,
841.766,
769.876,
691.07,
612.074,
531.87,
450.927,
369.02,
287.92,
213.545,
149.179,
95.913,
53.751,
20.692,
-4.337,
-21.228,
-30.96,
-34.993,
-34.538,
-31.539,
-27.379,
-22.59,
-18.365,
-15.807,
-15.214,
-17.097,
-21.985,
-29.236,
-38.209,
-48.283,
-58.078,
-66.799,
-74.253,
-79.805,
-82.815,
-83.379,
-81.684,
-78.317,
-74.519,
-70.915,
-67.691,
-65.23,
-63.804,
-63.51,
-64.436,
-66.303,
-68.451,
-70.512,
-72.303,
-73.662,
-74.546,
-74.846,
-74.413,
-73.253,
-71.476,
-69.177,
-66.426,
-63.25,
-59.631,
-55.603,
-51.231,
-46.581,
-41.728,
-36.722,
-31.613,
-26.458,
-21.324,
-16.287,
-11.408,
-6.725,
-2.264,
1.958,
5.928,
9.631,
13.057,
16.209,
19.092,
21.712,
24.073,
26.174,
28.013,
29.595,
30.924,
32.009,
32.855,
33.466,
33.844,
33.995,
33.923,
33.633,
33.126,
32.405,
31.471,
30.33,
28.987,
27.448,
25.721,
23.813,
21.734,
19.493,
17.101,
14.567,
11.901,
9.112,
6.209,
3.205,
0.109,
-3.068,
-6.315,
-9.621,
-12.972,
-16.358,
-19.765,
-23.181,
-26.593,
-29.989,
-33.356,
-36.681,
-39.952,
-43.155,
-46.278,
-49.309,
-52.235,
-55.044,
-57.725,
-60.266,
-62.657,
-64.889,
-66.952,
-68.84,
-70.544,
-72.06,
-73.381,
-74.505,
-75.427,
-76.146,
-76.661,
-76.972,
-77.081,
-76.99,
-76.703,
-76.226,
-75.563,
-74.723,
-73.712,
-72.539,
-71.214,
-69.746,
-68.147,
-66.428,
-64.6,
-62.677,
-60.671,
-58.594,
-56.46,
-54.282,
-52.072,
-49.843,
-47.607,
-45.375,
-43.16,
-40.971,
-38.82,
-36.717,
-34.67,
-32.689,
-30.779,
-28.95,
-27.205,
-25.55,
-23.988,
-22.523,
-21.158,
-19.893,
-18.73,
-17.669,
-16.709,
-15.85,
-15.088,
-14.421,
-13.845,
-13.356,
-12.947,
-12.612,
-12.347,
-12.144,
-11.996,
-11.897,
-11.84,
-11.817,
-11.821,
-11.845,
-11.881,
-11.922,
-11.959,
-11.986,
-11.995,
-11.98,
-11.935,
-11.855,
-11.734,
-11.569,
-11.355,
-11.09,
-10.771,
-10.395,
-9.961,
-9.466,
-8.911,
-8.296,
-7.624,
-6.9,
-6.13,
-5.324,
-4.492,
-3.644,
-2.794,
-1.955,
-1.139,
-0.358,
0.379,
1.061,
1.675,
2.209,
2.646,
2.969,
3.164,
3.218,
3.115,
2.843,
2.39,
1.746,
0.909,
