y,u,v
0.0,0.0,0.0
0.0,0.0,0.0
0.9837120627028039,0.696560180321665,1.0
0.9840225869217899,0.6965756725791449,0.9999355831618143
0.9842183642061704,0.6964608545791378,0.9997222606194726
0.9843633534171,0.6963551566389621,0.9995156024325401
0.9846641969492002,0.6963192607151583,0.999448690409154
0.9847513231311738,0.6962526645379998,0.9993560211258803
0.9849260334721515,0.6961850418606008,0.999283013270295
0.9850064005448473,0.6961532993146942,0.9991949711342605
0.9849290340113167,0.6961006398523432,0.9991592805105046
0.9848508146929706,0.6960116501776248,0.9991409140523508
0.9849980306198072,0.6961552733536187,0.9992585667722534
0.9850150389391811,0.6961157925751279,0.9991967082885139
0.984999294004719,0.6960280110122314,0.9991063446827042
0.9852064417533046,0.6962163659102555,0.9993088652840508
0.985207373499677,0.6961088597504249,0.9991672398354484
0.9852596934273331,0.6960564608612119,0.999047565699687
0.9851224740336104,0.6959396925107474,0.9988980440953865
0.9853326381136728,0.6961387624920539,0.9990571516327047
0.9854531650342496,0.6963492976914342,0.9992399634294286
0.9852378368683606,0.6961657357599188,0.9991078133676641
0.9853911170427734,0.6963820667375815,0.9993419817610489
0.9854804067714082,0.6966149954345217,0.999569343668222
0.985332448605936,0.6965667815078287,0.9995685540526521
0.9851624127891317,0.6964955423911198,0.9995378222146748
0.9849950774575762,0.6964368186811926,0.9995071693382545
0.9849386673212683,0.6963812060566104,0.999460724150438
0.9848745821216222,0.6963249933241952,0.999436419783199
0.9849163527852653,0.6962624952518441,0.9993911274341143
0.9849648983504977,0.6962384988346774,0.9993801833623166
0.9849463897615411,0.6962022475838672,0.9993558632027664
0.9849322556428415,0.6961617166166685,0.9993034011443076
0.9849157210928096,0.6961576343041725,0.9992949680500219
0.9849602080340131,0.6961361330722063,0.9992678210667316
0.984835369812425,0.696109538819815,0.9992481754313548
0.9848495039311247,0.6961109996086191,0.9992515076090593
0.9849396622368863,0.6961209803494216,0.9992524709400544
0.9850420595839803,0.6961586765967247,0.9992684843438103
0.9849763319839486,0.6961561419307456,0.9992418742991076
0.9849365669438528,0.6961621430090761,0.999232888473923
0.8207985065709448,0.5801411636814171,0.8327322354978183
0.6566072076842675,0.46414628158701593,0.6661881847235854
0.4923407545914161,0.34811224815928665,0.49964475634189187
0.3280981454321924,0.23207498064165283,0.3331132880040307
0.1641152615393561,0.11606079788614378,0.16660671396397297
-2.9671998385251586e-07,5.256558582998265e-06,5.798971838851057e-05
3.339898390208387e-05,-5.225281033261877e-05,-1.1341862574071711e-05
0.00028444725252820495,-0.00012690350497861338,-4.4772957508826104e-05
0.0005656226890755102,-0.00018692297405613727,-8.364345089892041e-05
0.0008686339791188094,-0.00025706759584975055,-0.00015496837250070537
0.0010587223465235668,-0.0002983946710130262,-0.0002340213494180735
0.0012356209754512358,-0.00031034892432923154,-0.00029013880155600837
0.0014182290513585572,-0.0003078145215560002,-0.0003459339150693651
0.00143613244384816,-0.00027909743157211015,-0.0003758033173743684
0.0011108978622660134,-0.00035130803863678436,-0.0004940905372547657
0.0007212252106146364,-0.00041700458045635123,-0.0005513125738384511
0.0007709515143287808,-0.000328725384281201,-0.0004032059606394527
0.0005014239602569686,-0.00036332519799457745,-0.0003925959839618016
0.00013348503848832882,-0.00044228201728263827,-0.0004426626997220186
0.00017515392945766518,-0.0004122868028972835,-0.0003419044190816737
0.00029023759123658757,-0.0003443740733787448,-0.00024333618109157975
0.00018038258829078093,-0.00036294276085309423,-0.0002461582671379163
-1.1742109933993173e-05,-0.0003962327778059786,-0.00023244966349484725
-7.876520591085207e-05,-0.00042531291548233887,-0.00020288136792801257
-8.369837305139914e-05,-0.00048171427828329284,-0.0001655467645565051
-0.00018153577796388692,-0.0004932982018983837,-9.02102449198191e-05
-0.0002413370499380729,-0.0005033668532342434,-1.910939867002831e-05
-0.0001750377682341735,-0.0004334432360639441,6.457967446286072e-05
-3.216314780002736e-05,-0.00041731867198311625,3.1327032646131865e-05
8.459028770411834e-05,-0.0003788814143347828,3.6856096336951594e-05
4.420724182229936e-05,-0.0002638874177913403,9.422447500693332e-05
1.0425908514966951e-05,-0.00023022391267242653,-1.6772487523603276e-05
4.4646092608718876e-05,-0.0002169445966951519,-8.863627788367076e-05
8.057763685040286e-06,-0.00019044764248902384,-9.939382493701943e-05
-4.05839591765965e-05,-0.00017357215400111206,-0.00010653984584386037
-0.00016958468310883124,-0.00014458747207453577,-0.00013696232998702639
-0.00010688710122399289,-0.0001346607760706563,-0.00015939811584737693
2.8746042553528327e-05,-8.357852695311471e-05,-8.166520069253201e-05
3.222772080654203e-05,-8.255360594292787e-05,-4.597229582483727e-05
0.00010023941547624664,-0.00010979139502469554,-8.547658731217893e-05
0.00014413116200991038,-7.609516472794e-05,-8.510581893459743e-05
0.00022687304740019303,-5.321938752517953e-05,-4.782648865297713e-05
0.00016780155568197488,-0.00010154184249185972,-0.00011203013063571264
0.0001509013259062716,-0.0001276451294690698,-0.0001688613952466909
0.00010308694469178066,-8.735911856760963e-05,-0.00018730751683807324
9.893075927174495e-05,-0.0001169582091424202,-0.00023296063250324728
9.537275151396274e-05,-0.00012524311890625226,-0.0002317921769295641
7.37083323304062e-05,-0.0001529709960502428,-0.00024583557757498845
6.161844060640266e-05,-0.00016206043634423638,-0.00024626372468385116
6.404940374074103e-05,-0.0001373813526498484,-0.00019997224869746806
0.00012563345220155105,-0.000142511572741676,-0.00019140842916822175
1.7994987896831086e-05,-0.00013232614603621206,-0.0001505223104327596
-6.0699328081441716e-05,-0.00010503220651444707,-0.00010331435397645264
-5.148135592053135e-05,-6.775401678881718e-05,-8.579067883988521e-05
-6.983482928492966e-05,-4.539508684405431e-05,-5.1035135388291515e-05
-0.00014993483644806297,-3.5311520546908503e-05,-4.9812985957178636e-05
-0.00038284212603223027,-3.556647864123065e-05,-4.794317628728796e-05
-0.000348985165100594,2.071819652635374e-05,-2.5174699067858707e-06
-0.000471149572899378,5.386599494137772e-05,4.208510611029968e-05
-0.0006840351946254398,8.59736941818724e-05,6.477795570636637e-05
-0.0008003225814737482,0.00012489481070448143,8.969506462674848e-05
-0.0008295339708035905,0.00016493849736092477,0.00014899238639906373
-0.0007530500520099852,0.00020823303131867988,0.0002020649054280691
-0.0007871202091464132,0.00019260083641299704,0.00018729874333226485
-0.0007805409567486787,0.00018594674600671667,0.00014264422815796996
-0.0006411836350025401,0.00015696776685915112,0.00013081385675036761
-0.0006217896237871455,0.000143006047558215,0.00011181324955895196
-0.000699422170029895,9.451443939013678e-05,7.459884322313738e-05
-0.0007192431000638098,6.762004534782857e-05,6.16249330002302e-05
-0.0007162264176459364,6.343543376709121e-05,6.91443543368658e-05
-0.0006472582353160566,1.2994966636847244e-05,7.911561975213431e-05
-0.0006469095761749949,7.335177703364618e-06,5.9067104964843304e-05
-0.0005821151262767675,1.5053669898322659e-05,5.2464865980478865e-05
-0.0006450797736944142,-5.617184787582924e-05,-5.992708405547881e-05
-0.0007749892574114614,-0.0001476264391985743,-0.00022475775502319448
-0.0006427109269849642,-0.0001274907157574298,-0.00024093294223653705
-0.0007127564958921179,-0.00015803146676642281,-0.0003345004570880651
-0.0007602580138711276,-0.0002640256882513516,-0.00045948080947864916
-0.0004810145034176602,-0.00025452950820360905,-0.0004807549831003177
-0.0001866070400919759,-0.00020397077420847938,-0.0004770409824012619
3.537653223365539e-06,-0.00021048519039381912,-0.0004806839176999755
0.00010025783983985613,-0.0002133879926992403,-0.0004998324462082623
0.0002794059957904512,-0.00020454833413043597,-0.00050587388266747
0.0003214954886531844,-0.00020173581120472452,-0.0005680011866408787
0.00029576016253169714,-0.00017922720524098755,-0.0005680726029823946
0.00013817570591233093,-0.00018348884820695808,-0.0005544192724292128
6.339946239092372e-05,-0.00016941860063423084,-0.0005737671350017022
0.00019041860218315092,-0.0001086450486865907,-0.0005244979309670001
