b,g,r
0.0,0.0,0.0
0.0,0.0,0.0
0.6447940886358704,0.7409376761364671,0.9989046623527289
0.6450730826457486,0.7412197600751275,0.9991124195768301
0.6450432975460848,0.7415282217706017,0.9990733193459534
0.644987905552343,0.7417803910528359,0.999004213768917
0.6451745061571528,0.7420709739151062,0.9991925893013711
0.6451387938356116,0.7422096903405523,0.9991776125396435
0.6451685141568942,0.7424090393307772,0.9992531052650638
0.645185168678694,0.7425212354869706,0.9992349932296876
0.6450320973639798,0.7424843895437587,0.999134651517249
0.6448220599408613,0.7424594498670067,0.9990500898184644
0.6451793969249314,0.742476629093694,0.9992792109526769
0.6451226769743754,0.7425306283522408,0.9992301089397471
0.6449698712510241,0.7425888122942114,0.9991339778220848
0.6454502353366199,0.7426027137348111,0.9995019190271531
0.6452772317140185,0.7426996351487237,0.9993731396053792
0.6452321135715308,0.7428075947987884,0.9992998493449189
0.6449284649097776,0.7427988367616536,0.9990467861210245
0.6454342739434986,0.7428184257441206,0.9993803170500134
0.6458862974873308,0.7427587130323544,0.9996547700953713
0.6454088160396972,0.7426977436199934,0.9993497805211279
0.6458947704995884,0.742637020365481,0.9997023562941817
0.6463577610233533,0.7425254460817468,1.0
0.6461594420093891,0.742422435500004,0.9998772579233515
0.6459038394729528,0.742326706008305,0.9997075903873806
0.6456669254994851,0.7422271157250881,0.9995391795520044
0.6455267645161389,0.7422260404039606,0.9994490339567628
0.6453814925185181,0.7422101697005731,0.9993657419142492
0.6453136954647813,0.74228835720665,0.9993520348087928
0.6453110589846676,0.7423402446899703,0.999380239315956
0.6452322819953219,0.742349495042802,0.9993379001660205
0.6451515940437316,0.7423761060017883,0.9992726165134734
0.6451309945185182,0.7423650548099601,0.9992468606291186
0.6451344666397492,0.7424198443647569,0.9992624722189816
0.6449882229664107,0.7423391434574904,0.9991423601446087
0.6450045730298191,0.7423489379487239,0.9991637110990437
0.6450960077148461,0.7424217358934873,0.9992441269814332
0.6452426918811766,0.7424856851113822,0.999350946531989
0.6451891331156219,0.7424491241930476,0.9992785372575127
0.645164918956739,0.7424172273181575,0.9992413155996901
0.5376629187262864,0.6186715384903673,0.8327586386811678
0.4301607042953203,0.4948976657405446,0.666189218184031
0.3225332343865154,0.3710717200972789,0.49955945518531186
0.21492300056542218,0.2472660457687621,0.3329585607441383
0.1075591716143496,0.12365628271375717,0.1665918081935737
2.0336740914115667e-05,-2.541889282111539e-05,7.12539160602102e-05
-5.1365297591791826e-05,5.649437783744488e-05,2.8740152400383267e-05
2.727162649808751e-05,0.00030386746872963587,0.00019609797920241227
0.00015839739321460504,0.0005803499487941297,0.0003815509990006607
0.00028809781961601873,0.0008854793003887263,0.000555701630805858
0.00037479195073295175,0.0010909108366542791,0.0006348108612712815
0.0004925365912023822,0.0012637643173633928,0.0007249612069262023
0.0006448950558197386,0.0014371784909497285,0.0008192842879935344
0.0007043560675872216,0.0014545337708810684,0.0008054376930898598
0.0003195296577057453,0.00126227599806745,0.0004287326928088129
-0.00011149172728580411,0.0009815030298903796,6.006496220652039e-05
7.024092613113892e-05,0.0009172017055050983,0.00024202556354856473
-0.00020744614392006444,0.0006947766405787468,3.787001744212062e-05
-0.0006341939551536926,0.00044437336096710817,-0.0003086121252713368
-0.0005455888617928986,0.0004214462765423343,-0.00017627968126541994
-0.0003383343179297002,0.00044223768971566024,1.3183984039968973e-05
-0.00045825126542271307,0.0003592015937839321,-7.908403887308787e-05
-0.0006660918377078049,0.00020666534849841416,-0.00022368709174442025
-0.0007671197691305455,0.00014398276388312127,-0.0002522726397409112
-0.0008668001662733033,0.00013733909310976105,-0.00022088089227165355
-0.0009663893698500148,2.723643024467667e-05,-0.00023184931172468034
-0.0010308560950342488,-4.1681577390244526e-05,-0.00021433885158087757
-0.0008573451857331592,-3.8927920383323275e-05,-8.207032224366497e-05
-0.0007106800930370315,9.885382499882309e-05,2.271705852685552e-06
-0.000545996173857993,0.0001884102248757817,0.00010427851059051538
-0.0003847791216635282,9.688024365264588e-05,0.00012735343367716503
-0.0003545336636371512,0.0001115466449574663,-2.473958351504149e-06
-0.00030553702354053013,0.00016141822505539905,-3.962565552272736e-05
-0.00029424593577339784,0.00012442329156769802,-7.920524642158778e-05
-0.0003155951627849543,6.939319304791255e-05,-0.0001241492070387008
-0.0003817569942532574,-3.1621062937686964e-05,-0.00026319369899750533
-0.0003235675101325156,2.2391439189096088e-05,-0.00023752361001085163
-0.00013754854320914773,7.75506626149947e-05,-5.699864154734113e-05
-0.00013905773553893853,6.176633040251998e-05,-2.4871299571691522e-05
-0.00013228342836380148,0.00014567189616147564,-1.0705131319862304e-05
-4.1734479735384776e-05,0.00016880871858953542,2.0148667680979736e-05
6.670920878922338e-05,0.0002104312756758171,0.0001239122621165574
-5.560561844742867e-05,0.000206521540491899,1.7587474441077567e-05
-0.00011057799223195585,0.00022414514687425275,-4.8761134693201264e-05
-8.029618633579917e-05,0.00017722184683143468,-0.00010258779484187389
-0.0001237266360661783,0.00020325570241746824,-0.00014397211143962424
-0.00013692623889441466,0.00020275575726683173,-0.00013849560314376498
-0.0002003648591937127,0.0001961300804883279,-0.00016419764946554307
-0.00022328733715532768,0.00018886266588073874,-0.00017074904703342814
-0.0001733861029542362,0.00016417778409418378,-0.00012351466680786695
-0.0001276436408245157,0.0002193842237618627,-6.559617224939941e-05
-0.00020420305025444023,0.00010941082975445491,-0.00011936625927686602
-0.0002201744480367899,2.301863787011503e-05,-0.00014176748719776163
-0.00014619019518626332,1.685850172436649e-05,-0.00012124180933958473
-0.00012391514115632133,-1.5361401359885205e-05,-0.00010983635174290916
-0.0001762526182973537,-7.924814410488053e-05,-0.00017936658705609252
-0.0003705761736864565,-0.0002671774254889153,-0.0003727460335265099
-0.0002478729640666596,-0.000273516493918422,-0.0003033027451985976
-0.00029606678409218565,-0.0004067388489291796,-0.0003633512968836376
-0.00041361543397009477,-0.0005974554720786549,-0.0005137186180146509
-0.00044508196448082946,-0.0007141275265072529,-0.0005861455985803644
-0.00040336648640433424,-0.0007777388891560909,-0.0005503156682897622
-0.0002703098920733688,-0.0007558591991782695,-0.0004346466711068725
-0.0003237427716409802,-0.0007734995039883194,-0.0004744914215099948
-0.0003290566142245427,-0.0007436612860516412,-0.0005099870953543568
-0.00027238020913661657,-0.000620412786414386,-0.00041085141242125904
-0.00028712196929225685,-0.0005982522461670951,-0.00041170475962936087
-0.00043263271123632717,-0.0006324617092650863,-0.0005094029383081941
-0.0004945110362610292,-0.0006355561005579095,-0.0005377341231947115
-0.0005051212312657005,-0.0006407461444571073,-0.000530791032348455
-0.00053450067431164,-0.0005706739300216921,-0.0004698220518429458
-0.0005423528217731901,-0.0005587231824067861,-0.0004897714900133454
-0.000474289169010404,-0.000505389125858935,-0.00044350820969914044
-0.0006390753660552207,-0.00048353376376252384,-0.0006030259810033844
-0.0008959681438933341,-0.0004858597395029054,-0.0008658289943857794
-0.0007505645741813279,-0.00037556734795591353,-0.0007684427596013866
-0.0008578901878459461,-0.0003904017411970959,-0.0009063779577710564
-0.0010714186618781824,-0.00034208066763964304,-0.0010590525408890052
-0.0008265749508431049,-0.00011146689557276333,-0.0008453853691458153
-0.0005032168188338082,0.00010976495157205428,-0.0005970809090842146
-0.0003585991548382416,0.00026863724229652373,-0.00044225827484715356
-0.00028683053855314166,0.0003508882242481141,-0.0003781687037924524
-0.00012254212737933162,0.0005021231438321686,-0.0002362443089580607
-7.660813716814073e-05,0.0005685545253409333,-0.00025964916993323516
-5.538321267257941e-05,0.000545252446064712,-0.00028195625327369714
-0.0001861673094161019,0.00041881670612213236,-0.00040131733028192257
-0.00021767429042737256,0.00037065858618164766,-0.00048363381037559315
-5.879573779406144e-06,0.0004444148191309051,-0.00033855859508028017
0.00011947012061524795,0.00039312243320563183,-0.000281682600601707
0.00026107400641439183,0.00021562203933514894,-0.00022108991051480537
